x-axis,F1
second,Volt
-8.07500E-03,+801.39160E-03
-8.05000E-03,+801.39160E-03
-8.02500E-03,+801.39160E-03
-8.00000E-03,+823.36383E-03
-7.97500E-03,+801.88031E-03
-7.95000E-03,+824.34125E-03
-7.92500E-03,+797.63230E-03
-7.90000E-03,+808.22797E-03
-7.87500E-03,+813.59863E-03
-7.85000E-03,+825.80566E-03
-7.82500E-03,+812.62164E-03
-7.80000E-03,+824.82953E-03
-7.77500E-03,+804.32086E-03
-7.75000E-03,+796.02098E-03
-7.72500E-03,+787.96387E-03
-7.70000E-03,+797.63136E-03
-7.67500E-03,+801.39160E-03
-7.65000E-03,+813.59863E-03
-7.62500E-03,+801.39160E-03
-7.60000E-03,+809.20454E-03
-7.57500E-03,+801.39160E-03
-7.55000E-03,+801.39160E-03
-7.52500E-03,+803.34516E-03
-7.50000E-03,+775.75684E-03
-7.47500E-03,+801.39160E-03
-7.45000E-03,+784.05806E-03
-7.42500E-03,+801.39160E-03
-7.40000E-03,+787.96387E-03
-7.37500E-03,+790.64990E-03
-7.35000E-03,+800.85401E-03
-7.32500E-03,+799.78076E-03
-7.30000E-03,+801.39160E-03
-7.27500E-03,+787.96387E-03
-7.25000E-03,+773.31632E-03
-7.22500E-03,+781.91012E-03
-7.20000E-03,+801.39160E-03
-7.17500E-03,+802.36772E-03
-7.15000E-03,+787.96387E-03
-7.12500E-03,+801.39160E-03
-7.10000E-03,+801.39160E-03
-7.07500E-03,+784.54545E-03
-7.05000E-03,+789.57569E-03
-7.02500E-03,+800.85499E-03
-7.00000E-03,+803.83255E-03
-6.97500E-03,+829.22454E-03
-6.95000E-03,+807.73880E-03
-6.92500E-03,+801.39160E-03
-6.90000E-03,+801.39160E-03
-6.87500E-03,+801.39110E-03
-6.85000E-03,+799.24367E-03
-6.82500E-03,+813.59863E-03
-6.80000E-03,+801.39160E-03
-6.77500E-03,+801.39160E-03
-6.75000E-03,+793.09179E-03
-6.72500E-03,+788.50148E-03
-6.70000E-03,+777.22122E-03
-6.67500E-03,+787.96387E-03
-6.65000E-03,+795.48391E-03
-6.62500E-03,+787.96387E-03
-6.60000E-03,+801.39160E-03
-6.57500E-03,+801.39160E-03
-6.55000E-03,+801.39160E-03
-6.52500E-03,+801.39160E-03
-6.50000E-03,+813.59863E-03
-6.47500E-03,+801.39160E-03
-6.45000E-03,+813.59863E-03
-6.42500E-03,+801.39160E-03
-6.40000E-03,+801.39160E-03
-6.37500E-03,+811.15770E-03
-6.35000E-03,+801.39160E-03
-6.32500E-03,+813.59863E-03
-6.30000E-03,+813.59863E-03
-6.27500E-03,+815.55223E-03
-6.25000E-03,+851.43943E-03
-6.22500E-03,+801.39160E-03
-6.20000E-03,+801.39160E-03
-6.17500E-03,+807.73974E-03
-6.15000E-03,+830.20067E-03
-6.12500E-03,+823.36378E-03
-6.10000E-03,+801.88036E-03
-6.07500E-03,+824.34130E-03
-6.05000E-03,+804.80909E-03
-6.02500E-03,+801.39160E-03
-6.00000E-03,+813.59863E-03
-5.97500E-03,+801.39160E-03
-5.95000E-03,+802.36865E-03
-5.92500E-03,+813.59863E-03
-5.90000E-03,+801.39160E-03
-5.87500E-03,+825.80566E-03
-5.85000E-03,+851.44043E-03
-5.82500E-03,+831.17578E-03
-5.80000E-03,+802.85693E-03
-5.77500E-03,+825.80566E-03
-5.75000E-03,+840.69770E-03
-5.72500E-03,+817.99267E-03
-5.70000E-03,+807.25147E-03
-5.67500E-03,+805.29834E-03
-5.65000E-03,+803.34522E-03
-5.62500E-03,+813.59863E-03
-5.60000E-03,+801.39160E-03
-5.57500E-03,+801.39160E-03
-5.55000E-03,+807.25048E-03
-5.52500E-03,+809.20360E-03
-5.50000E-03,+801.39160E-03
-5.47500E-03,+800.85394E-03
-5.45000E-03,+801.39160E-03
-5.42500E-03,+801.39160E-03
-5.40000E-03,+787.96387E-03
-5.37500E-03,+787.96387E-03
-5.35000E-03,+798.16839E-03
-5.32500E-03,+787.96387E-03
-5.30000E-03,+789.03753E-03
-5.27500E-03,+785.03468E-03
-5.25000E-03,+796.02106E-03
-5.22500E-03,+793.87263E-03
-5.20000E-03,+797.63128E-03
-5.17500E-03,+801.39160E-03
-5.15000E-03,+788.50042E-03
-5.12500E-03,+801.39160E-03
-5.10000E-03,+787.96387E-03
-5.07500E-03,+801.39160E-03
-5.05000E-03,+801.39160E-03
-5.02500E-03,+801.39160E-03
-5.00000E-03,+801.39160E-03
-4.97500E-03,+801.39160E-03
-4.95000E-03,+813.59863E-03
-4.92500E-03,+801.39160E-03
-4.90000E-03,+801.39160E-03
-4.87500E-03,+811.15671E-03
-4.85000E-03,+824.82807E-03
-4.82500E-03,+813.59863E-03
-4.80000E-03,+813.59863E-03
-4.77500E-03,+801.39160E-03
-4.75000E-03,+813.59863E-03
-4.72500E-03,+801.39160E-03
-4.70000E-03,+812.62155E-03
-4.67500E-03,+801.39160E-03
-4.65000E-03,+801.39160E-03
-4.62500E-03,+801.39160E-03
-4.60000E-03,+795.48282E-03
-4.57500E-03,+801.39160E-03
-4.55000E-03,+789.57577E-03
-4.52500E-03,+800.85507E-03
-4.50000E-03,+801.39160E-03
-4.47500E-03,+801.39160E-03
-4.45000E-03,+801.39160E-03
-4.42500E-03,+792.26133E-03
-4.40000E-03,+799.24258E-03
-4.37500E-03,+787.96445E-03
-4.35000E-03,+790.11172E-03
-4.32500E-03,+787.96387E-03
-4.30000E-03,+787.96387E-03
-4.27500E-03,+787.96387E-03
-4.25000E-03,+787.96387E-03
-4.22500E-03,+787.96387E-03
-4.20000E-03,+799.78086E-03
-4.17500E-03,+787.96387E-03
-4.15000E-03,+795.48399E-03
-4.12500E-03,+801.39160E-03
-4.10000E-03,+801.39160E-03
-4.07500E-03,+787.96387E-03
-4.05000E-03,+789.03749E-03
-4.02500E-03,+798.16954E-03
-4.00000E-03,+793.33436E-03
-3.97500E-03,+801.39160E-03
-3.95000E-03,+801.39160E-03
-3.92500E-03,+801.39160E-03
-3.90000E-03,+801.39160E-03
-3.87500E-03,+801.39160E-03
-3.85000E-03,+801.39160E-03
-3.82500E-03,+801.39160E-03
-3.80000E-03,+797.09412E-03
-3.77500E-03,+799.24256E-03
-3.75000E-03,+801.39100E-03
-3.72500E-03,+801.39160E-03
-3.70000E-03,+801.39160E-03
-3.67500E-03,+801.39160E-03
-3.65000E-03,+801.39160E-03
-3.62500E-03,+803.83356E-03
-3.60000E-03,+813.59863E-03
-3.57500E-03,+802.85589E-03
-3.55000E-03,+801.39160E-03
-3.52500E-03,+806.76214E-03
-3.50000E-03,+808.71526E-03
-3.47500E-03,+801.39160E-03
-3.45000E-03,+812.62151E-03
-3.42500E-03,+800.31800E-03
-3.40000E-03,+785.03474E-03
-3.37500E-03,+787.96387E-03
-3.35000E-03,+787.96387E-03
